GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AV2001
"G010","1890","Alabama","010",,"Alabama",833718
"G025","1890","Alaska Territory","025",,"Alaska Territory",
"G045","1890","Arizona Territory","045",,"Arizona Territory",55580
"G050","1890","Arkansas","050",,"Arkansas",818752
"G060","1890","California","060",,"California",1111672
"G080","1890","Colorado","080",,"Colorado",404468
"G090","1890","Connecticut","090",,"Connecticut",733438
"G100","1890","Delaware","100",,"Delaware",140066
"G110","1890","District Of Columbia","110",,"District of Columbia",154695
"G120","1890","Florida","120",,"Florida",224949
"G130","1890","Georgia","130",,"Georgia",978357
"G160","1890","Idaho","160",,"Idaho",82018
"G170","1890","Illinois","170",,"Illinois",3768472
"G178","1890","Indian Territory","178",,"Indian Territory",
"G180","1890","Indiana","180",,"Indiana",2146736
"G190","1890","Iowa","190",,"Iowa",1901086
"G200","1890","Kansas","200",,"Kansas",1376553
"G210","1890","Kentucky","210",,"Kentucky",1590462
"G220","1890","Louisiana","220",,"Louisianna",558395
"G230","1890","Maine","230",,"Maine",659263
"G240","1890","Maryland","240",,"Maryland",826493
"G250","1890","Massachusetts","250",,"Massachusetts",2215373
"G260","1890","Michigan","260",,"Michigan",2072884
"G270","1890","Minnesota","270",,"Minnesota",1296159
"G280","1890","Mississippi","280",,"Mississippi",544851
"G290","1890","Missouri","290",,"Missouri",2528458
"G300","1890","Montana","300",,"Montana",127271
"G310","1890","Nebraska","310",,"Nebraska",1046888
"G320","1890","Nevada","320",,"Nevada",39084
"G330","1890","New Hampshire","330",,"New Hampshire",375840
"G340","1890","New Jersey","340",,"New Jersey",1396581
"G355","1890","New Mexico Territory","355",,"New Mexico Territory",142719
"G360","1890","New York","360",,"New York",5923952
"G370","1890","North Carolina","370",,"North Carolina",1055382
"G380","1890","North Dakota","380",,"North Dakota",182123
"G390","1890","Ohio","390",,"Ohio",3584805
"G405","1890","Oklahoma Territory","405",,"Oklahoma Territory",58826
"G410","1890","Oregon","410",,"Oregon",301758
"G420","1890","Pennsylvania","420",,"Pennsylvania",5148257
"G440","1890","Rhode Island","440",,"Rhode Island",337859
"G450","1890","South Carolina","450",,"South Carolina",462008
"G460","1890","South Dakota","460",,"South Dakota",327290
"G470","1890","Tennessee","470",,"Tennessee",1336637
"G480","1890","Texas","480",,"Texas",1745935
"G495","1890","Utah Territory","495",,"Utah Territory",205899
"G500","1890","Vermont","500",,"Vermont",331418
"G510","1890","Virginia","510",,"Virginia",1020122
"G530","1890","Washington","530",,"Washington",340513
"G540","1890","West Virginia","540",,"West Virginia",730077
"G550","1890","Wisconsin","550",,"Wisconsin",1680473
"G560","1890","Wyoming","560",,"Wyoming",59275
