GISJOIN,YEAR,STATE,STATEA,AREANAME,AWL001,AWL002,AWL003,AWL004,AWL005,AWL006,AWL007
"G010","1890","Alabama","010","Alabama",601069,65993,7040,4387,48,3,759
"G045","1890","Arizona Territory","045","Arizona Territory",932,390,20,15,1170,1,1512
"G050","1890","Arkansas","050","Arkansas",269487,33252,4034,2344,92,0,218
"G060","1890","California","060","California",6542,2648,868,1264,72472,1147,11517
"G080","1890","Colorado","080","Colorado",4056,1778,229,152,1398,10,107
"G090","1890","Connecticut","090","Connecticut",9221,2453,367,261,272,18,228
"G100","1890","Delaware","100","Delaware",24837,3213,197,139,37,0,4
"G110","1890","District Of Columbia","110","District of Columbia",55736,17989,1126,721,91,9,25
"G120","1890","Florida","120","Florida",146423,16510,2203,1044,108,14,171
"G130","1890","Georgia","130","Georgia",773682,72072,8795,4266,108,5,68
"G160","1890","Idaho","160","Idaho",100,53,30,18,2007,0,159
"G170","1890","Illinois","170","Illinois",40346,13583,1862,1237,740,14,97
"G180","1890","Indiana","180","Indiana",31557,10970,1526,1162,92,18,343
"G190","1890","Iowa","190","Iowa",7503,2318,585,279,64,1,60
"G200","1890","Kansas","200","Kansas",36530,10708,1580,892,93,4,736
"G210","1890","Kentucky","210","Kentucky",216085,46152,3577,2257,28,3,71
"G220","1890","Louisiana","220","Louisianna",468240,76840,8597,5516,333,39,627
"G230","1890","Maine","230","Maine",507,462,107,114,73,1,559
"G240","1890","Maryland","240","Maryland",181296,31094,2078,1189,189,7,44
"G250","1890","Massachusetts","250","Massachusetts",14108,6815,728,493,984,18,424
"G260","1890","Michigan","260","Michigan",7036,5589,1376,1222,120,38,5624
"G270","1890","Minnesota","270","Minnesota",1981,1166,310,226,94,2,1888
"G280","1890","Mississippi","280","Mississippi",657393,72945,8039,4182,147,7,2036
"G290","1890","Missouri","290","Missouri",114739,30966,2932,1547,409,6,127
"G300","1890","Montana","300","Montana",1086,257,93,54,2532,6,860
"G310","1890","Nebraska","310","Nebraska",6091,2155,405,262,214,2,2893
"G320","1890","Nevada","320","Nevada",140,77,12,13,2833,3,3599
"G330","1890","New Hampshire","330","New Hampshire",248,183,70,113,58,2,16
"G340","1890","New Jersey","340","New Jersey",40436,6123,701,378,608,22,84
"G355","1890","New Mexico Territory","355","New Mexico Territory",970,419,236,331,361,3,8554
"G360","1890","New York","360","New York",54852,12469,1622,1149,2935,148,726
"G370","1890","North Carolina","370","North Carolina",483817,65687,5897,5617,32,1,1514
"G380","1890","North Dakota","380","North Dakota",153,109,70,41,28,1,194
"G390","1890","Ohio","390","Ohio",50078,29191,4112,3732,183,22,193
"G405","1890","Oklahoma Territory","405","Oklahoma Territory",2156,688,77,52,25,0,10
"G410","1890","Oregon","410","Oregon",557,287,134,208,9540,25,1258
"G420","1890","Pennsylvania","420","Pennsylvania",81886,20980,2368,2362,1146,32,983
"G440","1890","Rhode Island","440","Rhode Island",5396,1679,226,92,69,5,180
"G450","1890","South Carolina","450","South Carolina",621781,53400,8120,5633,34,0,173
"G460","1890","South Dakota","460","South Dakota",310,164,44,23,195,0,782
"G470","1890","Tennessee","470","Tennessee",356215,65222,5485,3756,51,6,146
"G480","1890","Texas","480","Texas",422447,55319,6219,4186,710,3,704
"G495","1890","Utah Territory","495","Utah Territory",379,145,29,35,806,4,608
"G500","1890","Vermont","500","Vermont",521,328,51,37,32,1,34
"G510","1890","Virginia","510","Virginia",512997,107217,9772,5452,55,16,349
"G530","1890","Washington","530","Washington",1044,371,101,86,3260,360,3655
"G540","1890","West Virginia","540","West Virginia",23336,7583,758,1013,15,3,9
"G550","1890","Wisconsin","550","Wisconsin",1007,782,290,365,119,9,3835
"G560","1890","Wyoming","560","Wyoming",671,195,37,19,465,0,43
